0303	国立研究開発法人日本医療研究開発機構	Japan Agency for Medical Research and Development
0501	防衛省	Ministry of Defense
1503	原子力規制庁	Nuclear Regulation Authority
1502	独立行政法人環境再生保全機構	Environmental Restoration and Conservation Agency
0301	内閣府	Cabinet Office
0601	総務省	Ministry of Internal Affairs and Communications
0605	消防庁	Fire and Disaster Management Agenc
0615	国立研究開発法人情報通信研究機構	National Institute of Information and Communications Technology
1001	文部科学省	Ministry of Education
1020	国立研究開発法人科学技術振興機構	Japan Science and Technology Agency
1025	独立行政法人日本学術振興会	Japan Society for the Promotion of Science
1101	厚生労働省	Ministry of Health
1201	農林水産省	Ministry of Agriculture
1203	農林水産省農林水産政策研究所	Policy Research Institute
1205	国立研究開発法人農業・食品産業技術総合研究機構	National Agriculture and Food Research Organization
1301	経済産業省	Ministry of Economy
1305	国立研究開発法人新エネルギー・産業技術総合開発機構	New Energy and Industrial Technology Development Organization
1401	国土交通省	Ministry of Land
1405	国土技術政策総合研究所	Ministry of Land
1501	環境省	Ministry of the Environment
1106	国立研究開発法人医薬基盤・健康・栄養研究所	National Institutes of Biomedical Innovation
